id;Abréviation;Définition;empty
3227.0;SNCITDV;système normalisé de commande informatique et de traitements des doubles voies;
3248.0;SOD;SAINT OUEN LES DOCKS (GARE);
8087.0;SPRC;Schéma pluriannuel de répartition de la capacité;
8091.0;SQANER;Système de qualification automatique et normalisée des entrées-sorties des réseaux;
3289.0;SR;signal de remisage;
8098.0;SRA;Service régional achat;
3300.0;SRO;SAINT ROCH SOMME (GARE);
9816.0;SRT;Safety in railway tunnels;
13834.0;SRZD;Suite Rapide Zones Denses;
4044.0;SSOTR;Serveur de stockage de l'offre de transport réelle;
3320.0;SST;ST SULPICE(TARN) (GARE);
5730.0;SUIVI T;Suivi par projet de l'utilisation du personnel du département ivx (infrastructure);
5731.0;SUPERVISION;Écran de supervision (module gas iii pour le cno - infrastructure);
8137.0;SVR;Service valable pour la retraite;
8143.0;T;Transformateur;
8146.0;T2;Cadenassement à  titre provisoire;
8151.0;TACOT;Télésurveillance automatisée des circuits et organes de transmission de données;
3419.0;TAR;TARARE (GARE);
8159.0;TB;Traverse en bois;
8177.0;TE;Travail effectif;
5790.0;TIV;Trafic international voyageur;
13409.0;TKF;Téléconférence;
3479.0;TLR;TOULOUSE RAYNAL (GARE);
8233.0;TR;Transmission rigide;
8243.0;TRX;Talonnable renversable exceptionnellement;
3536.0;U;USSEL (GARE);
5825.0;UA;Unité d'affectation;
9551.0;UIMM;Union des industries et des métiers de la métallurgie;
5843.0;UIT;Union internationale des télécommunications;
5941.0;AADS;"Agent administratif spécialisé (RH 0263)._x000D_
Grade de qualification C, de la filière Administrative. Niveau 1.";
13469.0;AAT;Avis d'Achèvement de Travaux.  Déclaration attestant l'achèvement et la conformité des travaux.;
4228.0;AATTX;Agent d'accompagnement des trains de travaux;
5953.0;ACC;Accord;
8438.0;ACF;Agent commercial frêt;
106.0;ACH;Acheres (GARE);
108.0;ACO;Ancona (GARE);
14075.0;ACT;Assistance à  la Contractualisation de Travaux;
13958.0;ACVU;Agent Circulation Voie Unique;
4248.0;ADM SG;Administrateur service général;
13591.0;AE;Anti-Enrayage;
4262.0;AF;Air france;
8454.0;AF;Agent formation : pour la sncf, agent, quelles que soient ses autres fonctions, responsable de l'application des règles relatives à  la composition des trains.;
9570.0;AFITT;Agence de financement des infrastructures de transports terrestres;
